id,name,brand,size_gb,price
altosight_41,sony xqd g 128gb memóriakártya (qdg128e-r),sony,128.0,99980.0
altosight_42,sony xqd g 256gb memóriakártya (qdg256e-r),sony,256.0,199990.0
altosight_43,sony xqd g 32gb memóriakártya (qdg32e-r),sandisk,32.0,48990.0
altosight_44,sony xqd g 64gb memóriakártya (qdg64e-r),sandisk,64.0,69990.0
altosight_45,sony xqd m 128gb memóriakártya (qdm128),sony,128.0,79990.0
altosight_46,sony xqd m 32gb memóriakártya (qdm32),sony,32.0,38990.0
altosight_47,sony xqd m 64gb memóriakártya (qdm64),sony,64.0,48990.0
altosight_48,sandisk cruzer 16 gb ultra 3.0 usb memória,sandisk,16.0,4590.0
altosight_49,sandisk cruzer 32 gb ultra 3.0 usb memória,sandisk,32.0,8290.0
altosight_50,sandisk 64gb cruzer blade usb memória,sandisk,64.0,11290.0
altosight_51,sandisk cruzer 64 gb ultra 3.0 usb memória,sandisk,64.0,11890.0
altosight_52,sandisk cruzer blade 128gb,sandisk,128.0,16890.0
altosight_53,sandisk cruzer blade 16gb,sandisk,16.0,4190.0
altosight_54,sandisk cruzer blade 32 gb,sandisk,32.0,7790.0
altosight_55,sandisk cruzer extreme go 3.1 128 gb usb pendrive,sandisk,128.0,29890.0
altosight_56,sandisk cruzer extreme go 3.1 64 gb usb pendrive,sandisk,64.0,19790.0
altosight_57,sandisk cruzer extreme pro 3.1 128gb (ssd) usb pendrive,sandisk,128.0,41590.0
altosight_58,"sandisk cruzer fit ultra 3.0, 16gb, 130mb/s",sandisk,16.0,4990.0
altosight_59,sandisk cruzer u &quot;pink&quot; 32 gb-os pendrive,sandisk,32.0,7490.0
altosight_60,"sandisk cruzer ultra 128 gb, usb 3.0, 100mb/sec pendrive",sandisk,128.0,19490.0
altosight_61,"sandisk cruzer ultra 3.0, 256gb, 100mb/s",sandisk,256.0,44990.0
altosight_62,sandisk cruzer ultra &quot;flair&quot; 128 gb-os pendrive,sandisk,128.0,19790.0
altosight_63,sandisk cruzer ultra &quot;flair&quot; 16 gb-os pendrive,sandisk,16.0,4990.0
altosight_64,sandisk cruzer ultra &quot;flair&quot; 32 gb-os pendrive,sandisk,32.0,8690.0
altosight_65,sandisk cruzer ultra &quot;flair&quot; 64 gb-os pendrive,sandisk,64.0,12890.0
altosight_66,"sandisk dual drive, type-c, usb 3.0, 16gb, 130 mb/s",sandisk,16.0,6790.0
altosight_67,"sandisk dual drive, type-c, usb 3.0, 32gb, 150 mb/s",sandisk,32.0,9990.0
altosight_68,"sandisk dual drive, type-c, usb 3.0, 64gb, 150 mb/s",sandisk,64.0,14190.0
altosight_69,"sandisk mobil memória &quot;dual drive&quot; 3.0, 128gb, 150mb/s",sandisk,128.0,19590.0
altosight_70,"sandisk mobil memória &quot;dual drive&quot; 3.0, 16gb, 130mb/s",sandisk,16.0,5290.0
altosight_71,"sandisk mobil memória &quot;dual drive&quot; 3.0, 32gb, 150mb/s",sandisk,32.0,8890.0
altosight_72,"sandisk mobil memória &quot;dual drive&quot; 3.0, 64gb, 150mb/s",sandisk,64.0,12690.0
altosight_73,lexar micro sd 64gb x633+adap c10+ kupon o warto?ci 50z? na ab fotoksi??k? - abfoto,lexar,64.0,199.0
altosight_74,lexar micro sd 64gb x633+adap c10+ kupon o warto?ci 50z? na ab fotoksi??k? - abfoto,lexar,64.0,199.0
altosight_75,lexar micro sd 64gb x633+adap c10 - abfoto,lexar,64.0,199.0
altosight_76,lexar micro sd 64gb x633+adap c10 - abfoto,lexar,64.0,199.0
altosight_77,lexar micro sdhc 16gb x300 + adapter (lsdmi16gbbeu300a) + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,lexar,16.0,59.0
altosight_78,lexar micro sdhc 16gb x300 + adapter (lsdmi16gbbeu300a) + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,lexar,16.0,59.0
altosight_79,lexar micro sdhc 16gb x633 c10 z czytnikiem (lsdmi16gbbeu633r) + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,lexar,16.0,99.0
altosight_80,lexar micro sdhc 32gb x300 + adapter (lsdmi32gbbeu300a) + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,lexar,32.0,99.0
altosight_81,lexar micro sdhc 32gb x633 c10 z czytnikiem+kupon premium -50% na ab fotoksi??k? - abfoto,lexar,32.0,159.0
altosight_82,lexar micro sdhc 32gb x633 c10 z czytnikiem (lsdmi32gbbeu633r) +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,32.0,159.0
altosight_83,lexar sd 128gb 1000x professional sdhc uhs-ii (lsd128crbeu1000) +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,128.0,669.0
altosight_84,lexar sd 16gb 1000x professional sdhc uhs-ii (lsd16gcrbeu1000) + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,lexar,16.0,129.0
altosight_85,lexar sd 256gb 1000x professional sdhc uhs-ii (lsd256crbeu1000) +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,256.0,1.0
altosight_87,lexar sd 32gb 2000x professional sdhc rdr uii uhs-ii (lsd32gcrbeu2000r) +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,32.0,409.0
altosight_88,lexar sd 64gb 300x premium ii c10 +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,64.0,184.0
altosight_89,lexar sd 64gb 633x professional (lsd64gcbeu633) +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,64.0,184.0
altosight_90,lexar sdhc 16gb 633x professional (lsd16gcbeu633) + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,lexar,16.0,69.0
altosight_91,lexar sdhc 32gb 633x professional (lsd32gcbeu633) +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,32.0,129.0
altosight_92,lexar xqd 128gb x2933 professional xqd +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,128.0,1.0
altosight_93,lexar xqd 128gb x2933 professional xqd +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,128.0,1.0
altosight_94,lexar xqd 32gb x1400 professional xqd +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,32.0,329.0
altosight_95,lexar xqd 32gb x1400 professional xqd +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,32.0,329.0
altosight_96,lexar xqd 32gb x2933 professional xqd +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,32.0,429.0
altosight_98,lexar xqd 64gb x1400 professional xqd +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,64.0,520.0
altosight_99,lexar xqd 64gb x1400 professional xqd +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,64.0,599.0
altosight_100,lexar xqd 64gb x2933 professional xqd +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,64.0,699.0
altosight_101,sandisk extreme 16gb sdhc 60mb/s klasa 10 uhs-i (sdsdxn-016g-g46) + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sandisk,16.0,79.0
altosight_102,sandisk extreme 32gb sdhc/sdxc uhs-i 90 mb/s+kupon premium -50% na ab fotoksi??k? - abfoto,sandisk,32.0,109.0
altosight_103,sandisk extreme 64gb sdxc uhs-i 90 mb/s v30+kupon premium -50% na ab fotoksi??k? - abfoto,sandisk,64.0,199.0
altosight_104,sandisk extreme pro sd 16gb 95mb/s sdsdxpa-016g-x46 +kupon premium -50% na ab fotoksi??k? - abfoto,sandisk,16.0,159.0
altosight_105,sandisk micro 16gb ultra+adap 80mb + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sandisk,16.0,39.0
altosight_106,sandisk micro 32gb ultra+adap 80mb + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sandisk,32.0,89.0
altosight_107,sandisk micro 32gb ultra+adap 80mb + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sandisk,32.0,89.0
altosight_108,sandisk micro 32gb ultra+adap 80mb + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sandisk,32.0,75.0
altosight_109,sandisk micro 64gb ultra+adap 80mb + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sandisk,64.0,139.0
altosight_110,sandisk sd 128gb extreme 90mb/s c10+kupon premium -50% na ab fotoksi??k? - abfoto,sandisk,128.0,315.0
altosight_111,sandisk sd 16gb 80 mb/s ultra micro + adapter  + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sandisk,16.0,59.0
altosight_112,sandisk sd 16gb extr 90mb/s uhs-i+ kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sandisk,16.0,89.0
altosight_113,sandisk sd 16gb extr 90mb/s uhs-i+ kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sandisk,16.0,89.0
altosight_114,sandisk sd 16gb ultra 80mb/s c10 + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sandisk,16.0,49.0
altosight_115,sandisk sd 32gb extr pro 95mb/s uhs-i+kupon premium -50% na ab fotoksi??k? - abfoto,sandisk,32.0,195.0
altosight_117,sandisk sd 32gb ultra 80mb/s c10 +kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sandisk,32.0,89.0
altosight_119,sandisk sd micro 32gb 90mb/s +adapter+kupon premium -50% na ab fotoksi??k? - abfoto,sandisk,32.0,125.0
altosight_121,sandisk ultra sd 8gb micro 48mb/s c10+ kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sandisk,8.0,25.0
altosight_122,sandisk ultra sdhc 32gb 40mb/s c10 - sdsdun-032g-g46 + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sandisk,32.0,75.0
altosight_123,sony sd 16gb uhs i 94mb/s  karta pami?ci promocja -druga karta sony za 50% ceny* +kupon premium -50% na ab fotoksi??k? - abfoto,sony,16.0,125.0
altosight_124,sony sd 8gb uhs i 94mb/s karta pami?ci promocja -druga karta sony za 50% ceny* + kupon o warto?ci 40z? na ab fotoksi??k? - abfoto,sony,8.0,69.0
altosight_125,lexar tarjeta micro sdhc 16gb 300x 45mb con adaptador sd - tarjetas - accesorios,lexar,16.0,19.0
altosight_126,lexar tarjeta micro sdhc 32gb 300x 45mb con adaptador sd - tarjetas - accesorios,lexar,32.0,25.0
altosight_127,lexar tarjeta micro sdhc uhs-i 633x-16gb+adaptador(clase 10) - tarjetas - accesorios,lexar,16.0,25.0
altosight_128,lexar tarjeta micro sdhc uhs-i 633x-32gb+adaptador(clase 10) - tarjetas - accesorios,lexar,32.0,39.0
altosight_129,lexar tarjeta micro sdxc 633x-128gb uhs-i (clase 10) - tarjetas - accesorios,lexar,128.0,79.0
altosight_130,lexar tarjeta micro sdxc 633x-64gb lector usb 3.0 (clase 10) - tarjetas - accesorios,lexar,64.0,39.0
altosight_131,lexar tarjeta micro sdxc h-speed 64gb con adaptador sd - tarjetas - accesorios,lexar,64.0,59.0
altosight_132,lexar tarjeta micro sdxc uhs-i 633x-128gb+adaptador(clase 10 - tarjetas - accesorios,lexar,128.0,99.0
altosight_133,lexar tarjeta micro sdxc uhs-i 633x-64gb+adaptador(clase 10) - tarjetas - accesorios,lexar,64.0,79.0
altosight_134,lexar tarjeta microsdhc 633x-16gb lector usb 3.0 (clase 10)  - tarjetas - accesorios,lexar,16.0,29.0
altosight_135,lexar tarjeta microsd 633x-32gb lector usb 3.0 (clase 10) - tarjetas - accesorios,lexar,32.0,39.0
altosight_136,lexar tarjeta sd 300x-32gb-45mb - tarjetas - accesorios,lexar,32.0,25.0
altosight_137,lexar tarjeta sdhc 1000x 150mb/75mb 32gb profesional - tarjetas - accesorios,lexar,32.0,79.0
altosight_138,lexar tarjeta sdhc rdr uii 2000x-32gb - tarjetas - accesorios,lexar,32.0,129.0
altosight_139,lexar tarjeta sdhc rdr uii 2000x-64gb - tarjetas - accesorios,lexar,64.0,229.0
altosight_140,lexar tarjeta sdhc uhs-i 633x-128gb-95mb(clase 10) - tarjetas - accesorios,lexar,128.0,109.0
altosight_141,lexar tarjeta sdhc uhs-i 633x-16gb-95mb(clase 10) - tarjetas - accesorios,lexar,16.0,22.0
altosight_142,lexar tarjeta sdhc uhs-i 633x-32gb-95mb(clase 10) - tarjetas - accesorios,lexar,32.0,35.01
altosight_143,lexar tarjeta sdhc uhs-i 633x-64gb-95mb(clase 10) - tarjetas - accesorios,lexar,64.0,59.0
altosight_144,lexar tarjeta sdxc 1000x 150mb/75mb 64gb profesional - tarjetas - accesorios,lexar,64.0,129.0
altosight_145,lexar tarjeta sdxc uhs-ii 300mb 2000x-128gb+lector sd - tarjetas - accesorios,lexar,128.0,499.0
altosight_146,lexar tarjeta xqd 440 mb 128gb - tarjetas - accesorios,lexar,128.0,429.01
altosight_147,lexar tarjeta xqd 440 mb 32gb - tarjetas - accesorios,lexar,32.0,149.0
altosight_148,lexar tarjeta xqd 440 mb 64gb - tarjetas - accesorios,lexar,64.0,259.0
altosight_149,lexar usb 16gb v-10,lexar,16.0,15.0
altosight_150,lexar usb 32gb v-10,lexar,32.0,25.0
altosight_151,lexar usb 64gb v-10,lexar,64.0,45.0
altosight_152,sandisk cruzer extreme usb 3.0 32gb nv,sandisk,32.0,39.0
altosight_153,sandisk cruzer extreme usb 3.0 64gb nv,sandisk,64.0,69.01
altosight_154,sandisk micro sdhc extrem 16gb 60mb (clase 10) - tarjetas - accesorios,sandisk,16.0,15.0
altosight_155,sandisk micro sdhc extrem 32gb 60mb (clase 10) - tarjetas - accesorios,sandisk,32.0,25.0
altosight_156,sandisk micro sdhc ultra 32gb 48mb (clase 10) - tarjetas - accesorios,sandisk,32.0,19.0
altosight_157,sandisk tarjeta micro sdhc extrem 32gb 90mb (clase 10). - tarjetas - accesorios,sandisk,32.0,25.0
altosight_158,sandisk tarjeta micro sdhc extrem 32gb+adaptador sd 90mb/s c10 - tarjetas - accesorios,sandisk,32.0,36.0
altosight_159,sandisk tarjeta micro sdhc extrem 32gb+adaptador sd 90mb/s pack2 - tarjetas - accesorios,sandisk,32.0,69.01
altosight_160,sandisk tarjeta micro sdhc extrem 64gb 90mb (clase 10) - tarjetas - accesorios,sandisk,64.0,49.01
altosight_161,sandisk tarjeta micro sdhc extrem 64gb+adaptador sd 90mb/s  - tarjetas - accesorios,sandisk,64.0,69.01
altosight_162,sandisk tarjeta micro sdhc extrem pro 16gb hc 95mb clase 10 - tarjetas - accesorios,sandisk,16.0,29.0
altosight_163,sandisk tarjeta micro sdhc ultra 128gb 80mb (clase 10) - tarjetas - accesorios,sandisk,128.0,109.0
altosight_164,sandisk tarjeta micro sdhc ultra 16gb 80mb (clase 10) - tarjetas - accesorios,sandisk,16.0,11.0
altosight_165,sandisk tarjeta micro sdhc ultra 32gb 80mb (clase 10) - tarjetas - accesorios,sandisk,32.0,19.0
altosight_166,sandisk tarjeta micro sdhc ultra 64gb 80mb (clase 10) - tarjetas - accesorios,sandisk,64.0,39.0
altosight_167,sandisk tarjeta micro sdxc extrem 128gb 275mb uhs ii (c10). - tarjetas - accesorios,sandisk,128.0,399.0
altosight_168,sandisk tarjeta micro sdxc extrem 128gb+adaptador sd 90mb/s c10 - tarjetas - accesorios,sandisk,128.0,149.0
altosight_169,sandisk tarjeta micro sdxc extrem 64gb 275mb uhs ii (c10). - tarjetas - accesorios,sandisk,64.0,199.0
altosight_170,sandisk tarjeta micro sdxc ultra 64gb 30mb (clase   2ª mano * * * * - tarjetas - accesorios,sandisk,64.0,22.0
altosight_171,sandisk tarjeta micro sdxc ultra 64gb 48mb (clase 10) - tarjetas - accesorios,sandisk,64.0,39.0
altosight_172,sandisk tarjeta sdhc extreme 32gb v3 90mb/s 40 - tarjetas - accesorios,sandisk,32.0,29.0
altosight_173,sandisk tarjeta sdhc extreme 64gb v3 90mb/s 40 - tarjetas - accesorios,sandisk,64.0,50.0
altosight_174,sandisk tarjeta sdhc extreme pro-128gb-95mb(clase 10)uhs-i - tarjetas - accesorios,sandisk,128.0,139.0
altosight_175,sandisk tarjeta sdhc extreme pro-16gb-95mb(clase 10)  - tarjetas - accesorios,sandisk,16.0,39.0
altosight_176,sandisk tarjeta sdhc extreme pro 32gb 300mb/s - tarjetas - accesorios,sandisk,32.0,115.0
altosight_177,sandisk tarjeta sdhc uhs-i extreme pro 32gb 95mb/s u30  - tarjetas - accesorios,sandisk,32.0,42.5
altosight_178,sandisk tarjeta sdhc uhs-i extreme pro 64gb 95mb/s u30  - tarjetas - accesorios,sandisk,64.0,68.0
altosight_179,sandisk tarjeta sdxc ultra 128gb-80mb (clase 10) - tarjetas - accesorios,sandisk,128.0,78.0
altosight_180,sandisk tarjeta sdhc ultra 32gb-80mb(clase 10)  2ª mano * * * * - tarjetas - accesorios,sandisk,32.0,20.0
altosight_181,sandisk tarjeta sdhc ultra 32gb-80mb(clase 10) - tarjetas - accesorios,sandisk,32.0,25.0
altosight_182,sandisk tarjeta sdxc-64gb (clase 4) - tarjetas - accesorios,sandisk,64.0,40.0
altosight_183,sandisk tarjeta sdxc extreme 128gb v3 90mb/s - tarjetas - accesorios,sandisk,128.0,99.0
altosight_184,sandisk tarjeta sdxc extreme 256gb v3 90mb/s - tarjetas - accesorios,sandisk,256.0,220.0
altosight_185,sandisk tarjeta sdxc extreme pro 128gb 300mb/s - tarjetas - accesorios,sandisk,128.0,389.0
altosight_186,sandisk tarjeta sdxc extreme pro 64gb 300mb/s  - tarjetas - accesorios,sandisk,64.0,189.0
altosight_187,sony tarjeta uhs-i sdhc 8gb-94mb - tarjetas - accesorios,sony,8.0,19.0
altosight_188,sony tarjeta xqd 128gb 400mb/s - tarjetas - accesorios,sony,128.0,399.0
altosight_189,sony tarjeta xqd 64gb 400mb/s - tarjetas - accesorios,sandisk,64.0,229.0
altosight_190,sandisk extreme class 10 microsdhc memory card - 32 gb,sandisk,32.0,39.99
altosight_191,sandisk extreme class 10 microsdxc memory card - 128 gb,sandisk,128.0,89.99
altosight_192,sandisk extreme class 10 microsdxc memory card - 64 gb,sandisk,64.0,59.99
altosight_193,sandisk extreme class 10 sdxc memory card - 128 gb,sandisk,128.0,89.99
altosight_194,sandisk extreme plus class 10 microsd memory card - 128 gb,sandisk,128.0,89.99
altosight_195,sandisk extreme plus class 10 microsd memory card - 32 gb,sandisk,32.0,39.99
altosight_196,sandisk extreme plus class 10 microsd memory card - 64 gb,sandisk,64.0,59.99
altosight_197,sandisk extreme plus class 10 sd memory card - 128 gb,sandisk,128.0,89.99
altosight_198,sandisk extreme plus class 10 sd memory card - 16 gb,sandisk,16.0,24.99
altosight_199,sandisk extreme plus class 10 sd memory card - 64 gb,sandisk,64.0,59.99
altosight_200,sandisk extreme plus ultra performance class 10 sd memory card - 32 gb,sandisk,32.0,39.99
altosight_201,sandisk extreme pro high performance class 10 sd memory card - 64 gb,sandisk,64.0,44.99
altosight_202,sandisk extreme pro high performance class 10 sdhc memory card - 512 gb,sandisk,512.0,289.99
altosight_203,sandisk ultra class 10 microsdhc memory card - 128 gb,sandisk,128.0,89.99
altosight_204,sandisk ultra performance class 10 microsd memory card - 128 gb,sandisk,128.0,69.99
altosight_205,sandisk ultra performance class 10 microsd memory card - 16 gb,sandisk,16.0,19.99
altosight_206,sandisk ultra performance class 10 microsd memory card - 32 gb,sandisk,32.0,29.99
altosight_207,sandisk ultra performance class 10 microsd memory card - 64 gb,sandisk,64.0,39.99
altosight_208,sandisk ultra plus class 10 sd memory card - 128 gb,sandisk,128.0,69.99
altosight_209,sandisk ultra plus class 10 sd memory card - 16 gb,sandisk,16.0,19.99
altosight_210,sandisk ultra plus class 10 sd memory card - 32 gb,sandisk,32.0,29.99
altosight_211,sandisk ultra plus class 10 sd memory card - 64 gb,sandisk,64.0,39.99
altosight_212,"pny attache 4 usb 2.0 memory stick - 128 gb, black",pny,128.0,21.99
altosight_213,"sandisk cruzer blade usb 2.0 memory stick - 128 gb, black",sandisk,128.0,29.99
altosight_214,"sandisk cruzer glide usb 2.0 memory stick - 32 gb, black &amp; red",sandisk,32.0,9.99
altosight_215,"sandisk ultra dual usb 3.0 dual memory stick - 128 gb, black",sandisk,128.0,39.99
altosight_216,"sandisk ultra dual usb 3.0 memory stick - 32 gb, black",sandisk,32.0,11.99
altosight_217,"sandisk ultra flair usb 3.0 memory stick - 128 gb, silver",sandisk,128.0,34.99
altosight_218,"sandisk ultra flair usb 3.0 memory stick - 16 gb, silver &amp; black",sandisk,16.0,7.49
altosight_219,"sandisk ultra flair usb 3.0 memory stick - 32 gb, silver &amp; black",sandisk,32.0,11.99
altosight_220,"sandisk ultra flair usb 3.0 memory stick - 64 gb, silver &amp; black",sandisk,64.0,19.99
altosight_221,"sandisk ultra usb 2.0 dual memory stick - 16 gb, black",sandisk,16.0,9.99
altosight_222,"sandisk ultra usb 3.0 dual memory stick - 64 gb, black",sandisk,64.0,21.99
altosight_223,"sandisk ultra usb 3.0 memory stick - 128 gb, black",sandisk,128.0,39.99
altosight_224,"sandisk ultra usb 3.0 memory stick - 16 gb, black",sandisk,16.0,12.99
altosight_225,"sandisk ultra usb 3.0 memory stick - 32 gb, black",sandisk,32.0,19.99
altosight_226,"sandisk ultra usb 3.0 memory stick - 64 gb, black",sandisk,64.0,23.99
altosight_227,"toshiba transmemory usb 2.0 memory stick - 16 gb, aqua",toshiba,16.0,5.99
altosight_228,"toshiba transmemory usb 2.0 memory stick - 16 gb, white",toshiba,16.0,5.99
altosight_229,"toshiba transmemory usb 2.0 memory stick - 32 gb, white",toshiba,32.0,8.99
altosight_230,"toshiba transmemory usb 2.0 memory stick - 64 gb, white",toshiba,64.0,18.99
altosight_231,pami?? usb sandisk cruzer fit 16 gb,sandisk,16.0,33.0
altosight_232,karta pami?ci sandisk microsdhc 32 gb + adapter sd,sandisk,32.0,68.0
altosight_233,karta pami?ci sandisk sdxc 64 gb extreme pro 95mb/s,sandisk,64.0,209.0
altosight_234,karta pami?ci sony sdhc 16 gb expert uhs-i 94mb/s,sony,16.0,99.0
altosight_235,karta pami?ci sony sdhc 32 gb expert uhs-i 94mb/s,sony,32.0,199.0
altosight_236,karta pami?ci sony sdhc 8 gb expert uhs-i 94mb/s,sony,8.0,106.0
altosight_237,karta pami?ci lexar 128gb x2933 pro xqd + czytnik pro xqd 2.0 usb 3.0 ,lexar,128.0,1149.0
altosight_238,karta pami?ci lexar 32gb x2933 pro xqd + czytnik pro xqd 2.0 usb 3.0,lexar,32.0,499.0
altosight_239,karta pami?ci lexar 64gb x2933 pro xqd + czytnik pro xqd 2.0 usb 3.0,lexar,64.0,789.0
altosight_240,karta pami?ci lexar xqd 32 gb x1400 pro,lexar,32.0,289.0
altosight_241,karta pami?ci lexar xqd 32 gb x2933 pro,lexar,32.0,399.0
altosight_242,karta pami?ci lexar xqd 64 gb x1400 pro ,lexar,64.0,449.0
altosight_243,karta pami?ci lexar xqd 64 gb x2933 pro ,lexar,64.0,539.0
altosight_244,karta pami?ci sandisk microsdhc 16gb extreme pro 95mb/s c10 uhs-i + adapter sd,sandisk,16.0,103.0
altosight_245,karta pami?ci sandisk extreme sdhc 16gb 90mb/s c10 uhs-i u3,sandisk,16.0,59.0
altosight_246,"karta oferuj?ca niezwykle wysok? wydajno??, pozwalaj?c? na p?ynn? prac? z urz?dzeniami mobilnymi, aparatami kompaktowymi oraz kamerami sportowymi. wysoka pr?dko?? odczytu wynosz?ca do 160 mb/s umo?liwia szybsze przenoszenie, archiwizowanie i edytowanie plików, a równie rewelacyjna pr?dko?? zapisu wynosz?ca do 90 mb/s, daje mo?liwo?? p?ynnego nagrywania obrazów w rozdzielczo?ci 4k. znajduj?cy si? w zestawie adapter sd umo?liwia swobodne u?ywanie karty z urz?dzeniami obs?uguj?cymi standardowy format. dodatkowo karta jest sprzedawana z oprogramowaniem sandisk rescue pro deluxe, umo?liwiaj?cym odzyskiwanie utraconych danych, w przypadku awarii karty lub dysku.",sandisk,128.0,239.0
altosight_247,karta pami?ci sandisk microsd 16 gb hc + adapter sd c4,sandisk,16.0,39.0
altosight_248,karta pami?ci sandisk microsd 32 gb extreme pro 95mb/s c10 uhs-i u3 v30 + rescue pro deluxe,sandisk,32.0,129.0
altosight_249,karta pami?ci sandisk microsd 32 gb hc + adapter sd c4,sandisk,32.0,73.0
